#rank	DIAMOnD_node	p_hyper
142	ENSP00000265171	1.4239401879137744e-32
143	ENSP00000268035	4.411115545116283e-33
144	ENSP00000391669	1.3049040919254348e-32
145	ENSP00000222390	6.065058396004335e-34
146	ENSP00000263923	2.034058030696668e-34
147	ENSP00000478570	1.6641578132555545e-35
148	ENSP00000400175	2.0241302670489612e-35
149	ENSP00000220003	6.230991221271371e-37
150	ENSP00000351209	1.4515855525342869e-36
151	ENSP00000274376	2.3583509077762693e-36
152	ENSP00000357392	5.924727689676066e-35
153	ENSP00000282397	4.948527336488303e-35
154	ENSP00000329668	1.1271527490740994e-34
155	ENSP00000451828	2.0004352511243284e-34
156	ENSP00000417273	1.3139574479346793e-35
157	ENSP00000348461	3.272141828878563e-35
158	ENSP00000303830	1.3330377373270098e-34
159	ENSP00000228280	1.1656008282189174e-35
160	ENSP00000222139	1.4584929536275902e-34
161	ENSP00000365016	1.3533437152839443e-34
162	ENSP00000431418	3.7226831156338405e-35
163	ENSP00000346508	4.5974868173767466e-35
164	ENSP00000358525	1.262967518623976e-34
165	ENSP00000414303	1.130058736520211e-34
166	ENSP00000277120	8.649573214460942e-36
167	ENSP00000302665	6.701359313057055e-37
168	ENSP00000378217	1.6050772133279166e-35
169	ENSP00000343204	1.5845207584939994e-35
170	ENSP00000380432	3.635414155366708e-36
171	ENSP00000339824	3.042489946989901e-37
172	ENSP00000264657	3.936458256471206e-36
173	ENSP00000410294	1.268409052370214e-37
174	ENSP00000393312	5.256182634744706e-38
175	ENSP00000264498	5.834112314208503e-37
176	ENSP00000360683	4.1848948865036634e-36
177	ENSP00000261937	4.937251243902655e-36
178	ENSP00000428340	3.618715548553075e-36
179	ENSP00000241453	1.1064800951218747e-36
180	ENSP00000267843	6.6726992069181744e-37
181	ENSP00000480043	7.003302309745673e-36
182	ENSP00000267257	1.7035007562299173e-35
183	ENSP00000380638	6.104312408666141e-35
184	ENSP00000233154	9.720290881662178e-35
185	ENSP00000447241	1.2661358785471994e-34
186	ENSP00000397297	9.936267305170475e-36
187	ENSP00000361423	7.632761188201844e-34
188	ENSP00000293328	3.25540051477729e-35
189	ENSP00000341208	2.3547451875146177e-36
190	ENSP00000305355	5.868697761351208e-35
191	ENSP00000215832	8.514955839305349e-36
192	ENSP00000216223	3.6905278999122537e-37
193	ENSP00000391676	5.046633418072514e-38
194	ENSP00000378974	3.4233688854661254e-39
195	ENSP00000367830	5.594365745136135e-39
196	ENSP00000263025	1.9051106003528672e-39
197	ENSP00000363318	4.073485170995406e-39
198	ENSP00000369293	6.485098344288782e-39
199	ENSP00000226730	2.844643529063615e-38
200	ENSP00000250559	1.2147054100173459e-37
